Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
Endo,Synapse.organization (Re),0.000197764390482021,4.83197622600056,9,391,0.0121195533549856,0.0230179028132992,0.0205674966101302,0.0121195533549856,SCZ,syngoAll,2.4310817170873,9.60395287600949,SCZ__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0121195533549856,*,Endo_no_meta_analysis,0.000197764390482021,0.0121195533549856,3.70385190489959
Endo,Process.in.the.synapse (Re),0.000233068333749723,3.02335201916442,16,875,0.0121195533549856,0.0182857142857143,0.0242391067099712,0.0121195533549856,SCZ,syngoAll,1.78652162591127,5.11645495873754,SCZ__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0121195533549856,*,Endo_no_meta_analysis,0.000233068333749723,0.0121195533549856,3.63251672867577
Endo,Postsynapse (Re),0.00132154099914804,2.99317247648057,12,685,0.0458134213037988,0.0175182481751825,0.137440263911396,0.0458134213037988,SCZ,syngoAll,1.64592682158816,5.44318335204975,SCZ__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0458134213037987,*,Endo_no_meta_analysis,0.00132154099914804,0.0458134213037988,2.87891935888297
Endo,Synapse (Re),0.00202596679769576,2.43456162137051,16,1044,0.0526751367400899,0.0153256704980843,0.210700546960359,0.0526751367400899,SCZ,syngoAll,1.43993229529808,4.11622845574366,SCZ__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0526751367400898,"",Endo_no_meta_analysis,0.00202596679769576,0.0526751367400899,2.69336767629838
Endo,Synaptic.vesicle.endocytosis (Re),0.00538144214791841,9.12823493342531,3,182,0.0852784819004277,0.0164835164835165,0.559669983383514,0.0852784819004277,SCZ,syngoAll,2.79787411081747,29.7814232161649,SCZ__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0852784819004277,"",Endo_no_meta_analysis,0.00538144214791841,0.0852784819004277,2.26910132415635
Endo,Synaptic.membrane (Re),0.00583090552069755,20.0060043073781,2,152,0.0852784819004277,0.0131578947368421,0.606414174152545,0.0852784819004277,SCZ,syngoAll,4.47204382300051,89.498275103729,SCZ__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0852784819004277,"",Endo_no_meta_analysis,0.00583090552069755,0.0852784819004277,2.23426399548037
Endo,Postsynaptic.specialization (Re),0.00591474507091055,3.43829540424936,7,410,0.0852784819004277,0.0170731707317073,0.615133487374697,0.0852784819004277,SCZ,syngoAll,1.59259904309219,7.42300790532247,SCZ__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0852784819004277,"",Endo_no_meta_analysis,0.00591474507091055,0.0852784819004277,2.22806396898748
Endo,Postsynaptic.density.membrane (Re),0.00655988322310982,5.71574545967306,4,231,0.0852784819004277,0.0173160173160173,0.682227855203421,0.0852784819004277,SCZ,syngoAll,2.07078368059608,15.7765132427397,SCZ__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0852784819004277,"",Endo_no_meta_analysis,0.00655988322310982,0.0852784819004277,2.18310389172349
Endo,Postsynapse.organization (Re),0.011732690462852,6.76200521287678,3,197,0.128783572853746,0.0152284263959391,1,0.128783572853746,SCZ,syngoAll,2.09303904471338,21.8460876850171,SCZ__Endo_no_meta_analysis,Endo_no_meta_analysis,0.128783572853746,"",Endo_no_meta_analysis,0.011732690462852,0.128783572853746,1.93060238693058
Endo,Structural.constituent.of.postsynapse (Re),0.0123830358513217,12.9997990784151,2,159,0.128783572853746,0.0125786163522013,1,0.128783572853746,SCZ,syngoAll,3.00919215031525,56.1595164540952,SCZ__Endo_no_meta_analysis,Endo_no_meta_analysis,0.128783572853746,"",Endo_no_meta_analysis,0.0123830358513217,0.128783572853746,1.90717286970635
